Date,Stock_Apple,Stock_Google,Stock_Microsoft
6/13/2024,214.2400055,175.1600037,441.5799866
6/14/2024,212.4900055,176.7899933,442.5700073
6/17/2024,216.6699982,177.2400055,448.3699951
6/18/2024,214.2899933,175.0899963,446.3399963
6/20/2024,209.6799927,176.3000031,445.7000122
6/21/2024,207.4900055,179.6300049,449.7799988
6/24/2024,208.1399994,179.2200012,447.6700134
6/25/2024,209.0700073,184.0299988,450.9500122
6/26/2024,213.25,183.8800049,452.1600037
6/27/2024,214.1000061,185.4100037,452.8500061
6/28/2024,210.6199951,182.1499939,446.9500122
7/1/2024,216.75,182.9900055,456.730011
7/2/2024,220.2700043,185.2400055,459.2799988
7/3/2024,221.5500031,185.8200073,460.769989
7/5/2024,226.3399963,190.6000061,467.5599976
7/8/2024,227.8200073,189.0299988,466.2399902
7/9/2024,228.6799927,188.9799957,459.5400085
7/10/2024,232.9799957,191.1799927,466.25
7/11/2024,227.5700073,185.5700073,454.7000122
7/12/2024,230.5399933,185.0700073,453.5499878
7/15/2024,234.3999939,186.5299988,453.9599915
7/16/2024,234.8200073,183.9199982,449.519989
7/17/2024,228.8800049,181.0200043,443.519989
7/18/2024,224.1799927,177.6900024,440.3699951
7/19/2024,224.3099976,177.6600037,437.1099854
7/22/2024,223.9600067,181.6699982,442.9400024
7/23/2024,225.0099945,181.7899933,444.8500061
7/24/2024,218.5399933,172.6300049,428.8999939
7/25/2024,217.4900055,167.2799988,418.3999939
7/26/2024,217.9600067,167,425.269989
7/29/2024,218.2400055,169.5299988,426.730011
7/30/2024,218.8000031,170.2899933,422.9200134
7/31/2024,222.0800018,171.5399933,418.3500061
8/1/2024,218.3600006,170.7599945,417.1099854
8/2/2024,219.8600006,166.6600037,408.4899902
8/5/2024,209.2700043,159.25,395.1499939
8/6/2024,207.2299957,158.2899933,399.6099854
8/7/2024,209.8200073,158.9400024,398.4299927
8/8/2024,213.3099976,162.0299988,402.6900024
8/9/2024,216.2400055,163.6699982,406.019989
8/12/2024,217.5299988,162.2899933,406.8099976
8/13/2024,221.2700043,164.1600037,414.0100098
8/14/2024,221.7200012,160.3699951,416.8599854
8/15/2024,224.7200012,161.3000031,421.0299988
8/16/2024,226.0500031,162.9600067,418.4700012
8/19/2024,225.8899994,166.6699982,421.5299988
8/20/2024,226.5099945,167.1799927,424.7999878
8/21/2024,226.3999939,165.8500061,424.1400146
8/22/2024,224.5299988,163.8000031,415.5499878
8/23/2024,226.8399963,165.6199951,416.7900085
8/26/2024,227.1799927,166.1600037,413.4899902
8/27/2024,228.0299988,164.6799927,413.8399963
8/28/2024,226.4900055,162.8500061,410.6000061
8/29/2024,229.7899933,161.7799988,413.1199951
