Date,Apple,Google,Microsoft
6/15/2015,31.72999954,27.14999962,45.47999954
6/16/2015,31.89999962,27.24349976,45.83000183
6/17/2015,31.82500076,27.32999992,45.97000122
6/18/2015,31.96999931,27.80900002,46.72000122
6/19/2015,31.64999962,27.87599945,46.09999847
6/22/2015,31.90250015,27.98399925,46.22999954
6/23/2015,31.75749969,28.16950035,45.90999985
6/24/2015,32.02750015,27.92849922,45.63999939
6/25/2015,31.875,27.89749908,45.65000153
6/26/2015,31.6875,27.65299988,45.25999832
6/29/2015,31.13249969,27.0625,44.36999893
6/30/2015,31.35750008,27.00200081,44.15000153
7/1/2015,31.64999962,27.16500092,44.45000076
7/2/2015,31.61000061,27.36700058,44.40000153
7/6/2015,31.5,27.28100014,44.38999939
7/7/2015,31.42250061,27.50149918,44.29999924
7/8/2015,30.64249992,27.08499908,44.24000168
7/9/2015,30.01749992,27.23250008,44.52000046
7/10/2015,30.81999969,27.80550003,44.61000061
7/13/2015,31.41500092,28.58650017,45.54000092
7/14/2015,31.40250015,29.20899963,45.61999893
7/15/2015,31.70499992,29.19799995,45.75999832
7/16/2015,32.12749863,30.0890007,46.65999985
7/17/2015,32.40499878,34.98099899,46.61999893
7/20/2015,33.01750183,34.64199829,46.91999817
7/21/2015,32.6875,34.76750183,47.27999878
7/22/2015,31.30500031,34.75500107,45.54000092
7/23/2015,31.29000092,33.73649979,46.11000061
7/24/2015,31.125,32.73849869,45.93999863
7/27/2015,30.69249916,32.91350174,45.34999847
7/28/2015,30.84499931,32.98300171,45.34000015
7/29/2015,30.74749947,33.07149887,46.29000092
7/30/2015,30.59250069,33.22800064,46.88000107
7/31/2015,30.32500076,32.875,46.70000076
8/3/2015,29.61000061,33.23600006,46.81000137
8/4/2015,28.65999985,33.06399918,47.54000092
8/5/2015,28.85000038,33.66450119,47.58000183
8/6/2015,28.78249931,33.50749969,46.61999893
8/7/2015,28.87999916,33.2195015,46.74000168
8/10/2015,29.93000031,33.1570015,47.33000183
8/11/2015,28.37249947,34.51499939,46.40999985
8/12/2015,28.80999947,34.57350159,46.74000168
8/13/2015,28.78750038,34.32550049,46.72999954
8/14/2015,28.98999977,34.46849823,47
8/17/2015,29.29000092,34.70550156,47.31999969
8/18/2015,29.125,34.43650055,47.27000046
8/19/2015,28.75250053,34.70199966,46.61000061
8/20/2015,28.16250038,33.97399902,45.65999985
8/21/2015,26.44000053,32.20149994,43.06999969
8/24/2015,25.78000069,30.90550041,41.68000031
8/25/2015,25.93499947,30.62350082,40.47000122
8/26/2015,27.42250061,32.98699951,42.70999908
8/27/2015,28.22999954,33.39799881,43.90000153
8/28/2015,28.32250023,32.98450089,43.93000031
8/31/2015,28.19000053,32.39099884,43.52000046
9/1/2015,26.93000031,31.47800064,41.81999969
